path,temperature,humidity,rainfall
lab/train/Late_blight/1e55a2c0-6618-4c42-93a6-cfc8a9d5ca77___GHLB2 Leaf 9039.JPG,23.59,85.82,17.43
lab/train/Late_blight/1f200e50-7cb5-4a83-8ecd-dcf133f1f45e___GHLB2 Leaf 8991.JPG,19.19,90.43,16.52
lab/train/Late_blight/2164b3f8-102c-481c-9d89-7e2f6087a121___RS_Late.B 5065.JPG,22.97,91.54,9.55
lab/train/Late_blight/21a75fcc-4cfa-4931-800d-7aefdea77df2___GHLB2 Leaf 8726.JPG,21.1,83.67,10.55
lab/train/Late_blight/2260ae60-08dc-4e6e-abd7-c9aed84163ea___RS_Late.B 5032.JPG,20.39,92.31,11.13
lab/train/Late_blight/231be16a-304a-48ce-a243-0b4d95c59681___GHLB2 Leaf 121.2.JPG,19.62,94.43,19.52
lab/train/Late_blight/2485b2a9-a492-4a45-bb4b-bb63edefb7ef___GHLB2 Leaf 9084.JPG,18.59,91.29,8.63
lab/train/Late_blight/25bb0739-cbd4-4e75-a6f4-67ca5cc7f986___GHLB2 Leaf 8789.JPG,18.55,80.12,8.61
lab/train/Late_blight/288f203e-7996-4290-afa7-f95c0c30506a___RS_Late.B 5562.JPG,23.18,93.75,19.92
lab/train/Late_blight/29e99d11-44d0-4c6c-8183-c3e7be56ce58___RS_Late.B 7093.JPG,19.1,93.9,11.73
lab/train/Late_blight/2dab6657-8b94-41ea-b610-74895532efe0___RS_Late.B 5567.JPG,20.87,82.11,12.31
lab/train/Late_blight/2dc5d67b-cfe6-4337-b966-4a499bfad825___GHLB2 Leaf 8761.JPG,21.41,86.05,9.52
lab/train/Late_blight/2e8f61d8-0d5d-46e3-a597-ede96855a4fe___RS_Late.B 5352.JPG,21.65,93.85,9.78
lab/train/Late_blight/2edc83c5-b45e-4f4e-ba56-1ff26c33abea___RS_Late.B 5614.JPG,21.56,88.26,13.94
lab/train/Late_blight/349b160d-6a6a-4b94-bdd3-81b670d13996___GHLB2 Leaf 72.JPG,20.62,94.48,12.5
lab/train/Late_blight/34bd18fa-d898-40d4-83ed-665caabed7d0___RS_Late.B 5113.JPG,22.92,88.87,14.1
lab/train/Late_blight/376c3deb-3feb-425b-a6dd-ce0f95b7c763___RS_Late.B 5413.JPG,23.13,92.04,13.19
lab/train/Late_blight/37dacc71-848d-43bd-8bb3-85ceafb11f91___GHLB2 Leaf 8605.JPG,21.57,83.39,15.6
lab/train/Late_blight/39f11cfa-d3a8-4845-9cc8-8ffa2f707d66___RS_Late.B 6119.JPG,20.37,80.22,12.11
lab/train/Late_blight/3a051073-6326-43f1-bd93-a3c69661a87f___GHLB2 Leaf 8655.JPG,19.77,94.91,15.72
lab/train/Late_blight/3a0cd50f-708e-478a-9231-39db5f2fc7c3___GHLB_PS Leaf 32.1 Day 13.jpg,21.35,94.1,10.1
lab/train/Late_blight/3d89871d-557a-414e-b726-8f4ba18d30e4___GHLB2 Leaf 8922.JPG,19.3,80.27,12.77
lab/train/Late_blight/3daa7759-9d45-4173-b73d-a7fca9800c45___GHLB2 Leaf 8573.JPG,19.48,84.2,10.81
lab/train/Late_blight/40bca58c-a09e-429b-a0b3-03fce3ea88e5___GHLB2 Leaf 9113.JPG,23.16,93.4,9.89
lab/train/Late_blight/41e1ea20-a4d0-4ef0-9362-b3756c8c06ec___GHLB2 Leaf 8755.JPG,18.9,92.02,10.35
lab/train/Late_blight/43bf836c-132e-493f-b01e-3f1b44d84f47___RS_Late.B 6577.JPG,20.89,81.69,11.34
lab/train/Late_blight/442f2aa6-9341-4f25-b789-edb5c9ac078b___GHLB2 Leaf 8846.JPG,23.15,83.91,9.92
lab/train/Late_blight/4435bd64-52a2-46cf-a319-a13a28571b03___GHLB2 Leaf 157.2.JPG,18.04,83.54,14.7
lab/train/Late_blight/4780302b-3329-4f1f-a697-67698af1d261___RS_Late.B 6319.JPG,18.46,91.18,8.41
lab/train/Late_blight/4bf424a2-b275-4ac0-968c-fe229136f10d___GHLB_PS Leaf 2.5 Day 16.jpg,20.2,94.29,12.07
lab/train/Late_blight/4cdd9b83-3ec9-40af-b402-a96827e69b84___GHLB2 Leaf 8554.JPG,21.25,82.76,10.68
lab/train/Late_blight/4d6314e5-b280-4872-8eb6-cf4632934ae3___GHLB2 Leaf 81.JPG,23.79,87.02,18.85
lab/train/Late_blight/4e1d7a08-a036-474f-8b4c-eef9d7c093fa___RS_Late.B 5043.JPG,19.33,84.64,9.98
lab/train/Late_blight/4efe334c-09f2-44ec-b2cf-37dc45c693d2___GHLB2 Leaf 90.1.JPG,22.94,83.52,19.21
lab/train/Late_blight/52451f9c-825f-4907-8ee6-deeb5899d9b5___RS_Late.B 5449.JPG,18.55,92.16,10.28
lab/train/Late_blight/532b2c20-d17b-4b3e-a69e-54a6e5343014___GHLB2 Leaf 9004.JPG,20.51,90.82,19.62
lab/train/Late_blight/537465e6-a88a-44d9-aa89-4e3877cee904___RS_Late.B 5433.JPG,20.43,94.05,9.06
lab/train/Late_blight/546b8a7a-6dd4-4f75-9794-4328a9d40758___GHLB2 Leaf 8618.JPG,19.2,87.86,13.33
lab/train/Late_blight/54b808b7-ab47-4ce0-992c-cc02588ec6a9___GHLB2 Leaf 8623.JPG,21.67,92.09,8.63
lab/train/Late_blight/54eb17df-c42a-472f-91ec-92784e034115___GHLB2 Leaf 8910.JPG,19.08,93.38,15.59
lab/train/Late_blight/5614e19d-53b7-4509-98e3-478712039c80___GHLB2 Leaf 8997.JPG,18.65,89.75,19.7
lab/train/Late_blight/5875efb8-29a9-4114-859d-d2a0f6ac9738___GHLB2 Leaf 8888.JPG,20.21,82.87,19.7
lab/train/Late_blight/58a1fb7e-5af6-42f1-8694-c76fd80ebf05___RS_Late.B 7108.JPG,22.52,88.45,16.05
lab/train/Late_blight/5c33bdb3-8101-4b21-a9d1-8d490bb22e16___GHLB2 Leaf 8971.JPG,22.56,92.85,9.0
lab/train/Late_blight/5f21282c-e2ef-4c4a-ace1-b5701fe7effc___GHLB2 Leaf 8999.JPG,20.88,80.04,8.67
lab/train/Late_blight/5f774121-b3b2-46fd-a67c-f4d8caf93e5a___GHLB2ES Leaf 66.1.JPG,21.74,88.54,13.81
lab/train/Late_blight/5fdf3288-d5f4-4c70-9b12-95222b82d415___RS_Late.B 4942.JPG,20.13,93.99,15.61
lab/train/Late_blight/61afbf50-6b68-4c7f-a068-d55f899e7775___RS_Late.B 7162.JPG,23.51,82.65,12.22
lab/train/Late_blight/62f69013-1152-47ee-8d37-b8252f4c1328___RS_Late.B 6149.JPG,18.9,85.83,10.14
lab/train/Late_blight/634c3515-80da-4144-8cc8-9b8bb29134ec___RS_Late.B 5481.JPG,21.35,89.68,8.86
lab/train/Late_blight/64984183-009e-4dba-a25a-f769bab08080___GHLB2 Leaf 8637.JPG,22.06,94.21,8.5
lab/train/Late_blight/673d1b55-7e61-4a3c-9d2d-edc4307f7a42___GHLB2 Leaf 121.1.JPG,21.26,85.52,8.46
lab/train/Late_blight/6cd183e0-9e97-4e80-a956-7c81bd06ab8b___RS_Late.B 6621.JPG,23.87,94.26,11.3
lab/train/Late_blight/6e594cdd-0b3f-41d2-b056-f03819790e8c___RS_Late.B 5348.JPG,22.22,86.69,14.23
lab/train/Late_blight/726a5ae7-e33b-4854-a872-71318ec3a493___RS_Late.B 5538.JPG,22.21,83.49,9.96
lab/train/Late_blight/729bd3cf-64cc-40d3-9cec-5f52e3c3aeb3___RS_Late.B 5630.JPG,23.41,90.27,17.47
lab/train/Late_blight/732a9df6-b5dd-493b-a7dc-3f3cd034e3c7___GHLB2 Leaf 8762.JPG,21.81,93.37,14.85
lab/train/Late_blight/73c69b7e-604a-4014-a42d-ce4205b35c74___RS_Late.B 5131.JPG,18.24,87.47,9.24
lab/train/Late_blight/74e2dac2-ae38-4349-8d26-7e694fdad667___RS_Late.B 5185.JPG,22.09,84.49,17.16
lab/train/Late_blight/7538ba25-b6c3-4aca-a3d5-68ab173c93eb___RS_Late.B 5436.JPG,21.34,88.83,9.42
lab/train/Late_blight/77793164-1671-42f7-83a2-f13074ec4892___GHLB Leaf 2 Day 6.JPG,20.37,87.91,8.31
lab/train/Late_blight/78a7b27e-8992-4a31-ad38-cd8ecee2e3d4___GHLB2 Leaf 58.1.JPG,21.65,81.0,14.36
lab/train/Late_blight/7d4d00c0-1e72-427d-9f05-1f64f8051cb8___GHLB_PS Leaf 1 Day 7.jpg,19.19,85.14,8.07
lab/train/Late_blight/7dbd4aab-b307-435c-90bb-7a358eba9814___RS_Late.B 6617.JPG,19.02,82.48,10.37
lab/train/Late_blight/7f533ee8-1d72-486e-b2a6-b5ef2ac7cc88___GHLB2 Leaf 8837.JPG,18.94,80.57,14.19
lab/train/Late_blight/8072e43a-7636-4c22-8641-672077964083___RS_Late.B 6464.JPG,22.24,87.1,11.83
lab/train/Late_blight/81425428-d995-492c-80ba-c28564d8f317___RS_Late.B 6265.JPG,23.35,89.45,17.06
lab/train/Late_blight/8224fe93-c0bc-47e1-8ef4-3572667de662___GHLB2 Leaf 8694.JPG,19.43,82.7,10.74
lab/train/Late_blight/838c4952-8d91-44b9-905d-96b065683f21___RS_Late.B 6038.JPG,18.61,89.21,10.4
lab/train/Late_blight/85550b3b-28a6-4489-ae91-63ea771622ae___RS_Late.B 5539.JPG,22.35,83.27,8.69
lab/train/Late_blight/85d80245-6c80-4bb7-9497-c8612903b535___RS_Late.B 5576.JPG,18.64,93.79,15.63
lab/train/Late_blight/861d8b00-57a4-46b0-b51a-09d102dbe119___GHLB_PS Leaf 24 Day 13.jpg,22.98,81.04,12.53
lab/train/Late_blight/86a7b7d2-8783-4622-84d7-a4a420ee10ba___RS_Late.B 6546.JPG,23.41,90.69,12.06
lab/train/Late_blight/88e11fb2-9752-4c08-97d6-7392fbcf8a95___RS_Late.B 6176.JPG,21.51,92.22,12.37
lab/train/Late_blight/88e2e3f1-defc-4d08-951a-ea6ed654dfe0___GHLB_PS Leaf 8 Day 8.jpg,22.65,84.04,19.01
lab/train/Late_blight/8b08d651-0fcc-43da-8aec-34389f834d63___GHLB2 Leaf 8644.JPG,20.98,90.14,15.29
lab/train/Late_blight/8bae80d9-576c-4930-8c75-f6df2be339de___RS_Late.B 4912.JPG,19.65,81.3,9.85
lab/train/Late_blight/8c36f3d7-3aee-4341-8319-449e3f5e6f79___RS_Late.B 5596.JPG,23.83,91.52,18.29
lab/train/Late_blight/8cb8fc56-d6b5-4032-b5f4-aebe52af18a3___GHLB2 Leaf 8945.JPG,22.12,89.97,14.97
lab/train/Late_blight/8fb69288-9a9a-429d-96ff-a425e9753cef___RS_Late.B 6913.JPG,21.19,83.5,14.98
lab/train/Late_blight/90b4fa52-1f63-466f-ab26-e2b180935c94___RS_Late.B 6323.JPG,19.52,90.29,15.97
lab/train/Late_blight/910c7947-dc38-4cb3-8df5-69bee6796afa___RS_Late.B 6968.JPG,21.02,83.91,18.25
lab/train/Late_blight/91b7baba-9b15-4f24-9db7-86ca95ac884c___GHLB2 Leaf 9087.JPG,19.41,86.2,16.38
lab/train/Late_blight/92286a65-7836-4a51-9e6a-ada347bd2cbf___RS_Late.B 5398.JPG,22.14,90.22,11.55
lab/train/Late_blight/92487391-6fdf-47bb-ae35-b0a48bed62fd___GHLB2 Leaf 9095.JPG,21.62,89.03,11.81
lab/train/Late_blight/955e9314-b03b-4f51-afdf-9b5f44e2edce___GHLB2 Leaf 9043.JPG,20.82,90.91,18.37
lab/train/Late_blight/960137a5-2b52-4349-8c33-cb8b7afed9eb___GHLB2 Leaf 8765.JPG,23.41,90.5,17.27
lab/train/Late_blight/9718ddc7-7afb-40e4-b94a-bf86c9e0beea___GHLB2 Leaf 8642.JPG,21.06,82.23,12.01
lab/train/Late_blight/98288f42-3067-4117-9e1d-d4a6b88f16eb___RS_Late.B 5545.JPG,18.7,81.54,9.38
lab/train/Late_blight/98586693-fe1f-4ea0-8e27-4501b61cf09b___GHLB_PS Leaf 23.5 Day 13.jpg,20.92,88.04,12.99
lab/train/Late_blight/993a04d9-3bfe-4cd2-8f89-981a0bb2405c___RS_Late.B 4956.JPG,20.53,85.4,12.46
lab/train/Late_blight/9a4627a2-053d-443b-9135-7c1a913b63c4___GHLB Leaf 25.1 Day 12.JPG,23.25,85.82,16.71
lab/train/Late_blight/9afc2537-1b13-4c25-b5ed-5b8de511b0ab___GHLB2 Leaf 9033.JPG,20.3,92.39,17.88
lab/train/Late_blight/9bb49d22-976d-40c3-bc9a-bff5cbbd8e28___RS_Late.B 5057.JPG,22.27,93.23,17.96
lab/train/Late_blight/9c6ebcdb-460b-431d-88d7-56beddc7a490___RS_Late.B 7002.JPG,18.72,91.37,13.9
lab/train/Late_blight/9cb4cbdd-147f-4cfe-a30a-dd003520f0dc___GHLB2 Leaf 8988.JPG,19.22,87.89,11.55
lab/train/Late_blight/9ed83599-49d6-479c-a69b-a133d9aee606___GHLB_PS Leaf 1.3 Day 13.jpg,22.02,89.81,11.15
lab/train/Late_blight/9f28c915-c41b-41d7-a9d4-f3620cd9360f___GHLB2 Leaf 8728.JPG,19.22,90.75,12.98
lab/train/Late_blight/9f946f43-424a-41be-9f91-b14fa3f2b37a___GHLB2 Leaf 8892.JPG,20.76,80.18,19.2
lab/train/Late_blight/a01034d4-69a1-4a6f-b05a-9561acba2ff2___GHLB2 Leaf 9057.JPG,22.06,93.57,9.24
lab/train/Late_blight/a02557d9-976b-4b21-8318-aecef263f90c___GHLB2 Leaf 8649.JPG,23.37,81.8,9.27
lab/train/Late_blight/a131e222-7e0f-4cb8-8527-4742e446372e___GHLB2 Leaf 8811.JPG,20.12,83.82,11.47
lab/train/Late_blight/a38d671f-4582-4ee9-b994-63f2343821e8___GHLB2 Leaf 8592.JPG,21.22,86.36,9.74
lab/train/Late_blight/a4cdb993-ba37-45c5-b845-ed5650516b39___GHLB2 Leaf 8878.JPG,20.77,93.95,18.88
lab/train/Late_blight/a5f089d1-5a8e-4c1f-bcc2-c1154c28e824___GHLB2 Leaf 8926.JPG,23.14,80.31,12.3
lab/train/Late_blight/a9b6997c-b2bd-4938-aa5f-492ae0cc8431___RS_Late.B 5063.JPG,20.89,89.75,18.09
lab/train/Late_blight/ac1fbb8a-2a44-4d70-8c93-fc3cc13a876d___GHLB_PS Leaf 17 Day 8.jpg,23.46,90.55,8.7
lab/train/Late_blight/ace982f8-596c-48e2-8c95-4292a5cbdae8___GHLB2 Leaf 8721.JPG,20.17,90.83,8.19
lab/train/Late_blight/afb65a40-7512-4d2c-884e-56e6c5010511___RS_Late.B 5380.JPG,23.38,93.44,10.46
lab/train/Late_blight/aff90d5c-a3f2-445a-b125-717a00b21fb8___RS_Late.B 6624.JPG,18.99,80.58,19.41
lab/train/Late_blight/b3cc95da-557b-456d-9c5d-2ba5d9eb0e98___RS_Late.B 4930.JPG,21.97,89.92,17.73
lab/train/Late_blight/b4aa6858-29d7-4ff7-9225-e5f003ce8566___GHLB2 Leaf 8856.JPG,22.94,83.15,13.18
lab/train/Late_blight/b6b9bd13-78ec-4e89-bbd7-a45d6a8ff3fb___RS_Late.B 6590.JPG,22.09,90.15,19.48
lab/train/Late_blight/b6c7fcf9-6f88-4814-9620-04ae2c23cbad___RS_Late.B 5234.JPG,23.86,93.66,19.66
lab/train/Late_blight/b982e973-aede-4317-92fb-b8a2385d3172___RS_Late.B 5465.JPG,21.13,94.41,10.98
lab/train/Late_blight/b984cd6b-35cc-4f3d-824f-b663d08cae6b___GHLB2 Leaf 57.JPG,18.54,83.16,12.38
lab/train/Late_blight/ba86e24f-fe3e-4f17-a920-f8dba4ecb4d7___GHLB2 Leaf 8974.JPG,18.51,85.25,9.32
lab/train/Late_blight/bd10f32e-3a27-4a58-9def-62555e99b223___RS_Late.B 6768.JPG,23.34,81.05,19.79
lab/train/Late_blight/bd5a4716-1cf0-46d3-a905-320e4d84d34a___RS_Late.B 6199.JPG,21.49,92.31,8.42
lab/train/Late_blight/bf0b58c2-1d95-4f37-80ea-1bcd82e9c59b___GHLB2 Leaf 145.4.JPG,19.41,84.09,9.46
lab/train/Late_blight/bf89b543-1d30-4648-8b4a-bb8d1f2f913a___GHLB2 Leaf 8606.JPG,18.45,86.51,8.17
lab/train/Late_blight/c042e7e2-a583-4709-b944-830965256802___GHLB2 Leaf 110.JPG,23.54,94.45,18.19
lab/train/Late_blight/c14302ad-0333-4038-8b4f-a4f75049fbaa___RS_Late.B 6939.JPG,21.2,89.2,12.27
lab/train/Late_blight/c3fc678f-f7ad-4b41-b1f4-5abc1f5461b5___RS_Late.B 7142.JPG,23.08,93.34,10.62
lab/train/Late_blight/c6dd1b5a-316b-468a-837a-707071a1ff98___GHLB2 Leaf 8790.JPG,20.11,82.58,9.71
lab/train/Late_blight/c7c6bb21-8005-4584-b983-f5c35eb51e29___RS_Late.B 5061.JPG,20.14,81.04,9.83
lab/train/Late_blight/c9258e44-7f45-4baf-8140-69d4857c56ee___GHLB_PS Leaf 45 Day 18.jpg,20.59,87.62,10.37
lab/train/Late_blight/c933cfb7-d1c7-420b-88d0-7df28ae6ab2d___GHLB_PS Leaf 36.1 Day 13.jpg,19.14,83.06,17.26
lab/train/Late_blight/c95eaeb8-7673-4411-bbbe-b2464526f303___RS_Late.B 6233.JPG,23.88,93.71,19.27
lab/train/Late_blight/c9c8854f-00f2-4bec-b263-f03354f58114___RS_Late.B 6997.JPG,20.67,80.84,19.57
lab/train/Late_blight/c9e551e1-6732-49e5-898e-a8dfbcc7b0c3___RS_Late.B 4959.JPG,22.12,91.43,16.22
lab/train/Late_blight/caf4164d-4f6f-4a75-b394-924f89e0d040___GHLB2 Leaf 8759.JPG,23.07,92.33,16.35
lab/train/Late_blight/cb56bd8e-f217-4537-9d35-a62d6b82f48f___GHLB2 Leaf 8769.JPG,20.1,81.4,13.77
lab/train/Late_blight/ccc1fb49-16b3-4cf6-b782-4b98e9429f7b___GHLB2 Leaf 8832.JPG,19.61,88.48,8.68
lab/train/Late_blight/cd8e0f91-3cbd-4327-9966-e8d3424d2612___GHLB2 Leaf 8713.JPG,19.63,82.32,11.91
lab/train/Late_blight/cf0469e3-6a8c-4d3b-a1d3-43b99619b472___GHLB2 Leaf 8699.JPG,23.75,83.08,18.1
lab/train/Late_blight/cf21ccf7-0ad0-44cb-b541-a03d3921afcf___GHLB2 Leaf 8798.JPG,21.53,85.73,14.72
lab/train/Late_blight/cf2e943e-c8d7-43eb-a137-72f6b67b187a___RS_Late.B 7192.JPG,21.69,89.71,10.32
lab/train/Late_blight/d11994f7-7c51-41b1-8225-c628e0e15885___GHLB2 Leaf 8683.JPG,23.3,83.51,14.54
lab/train/Late_blight/d1f8e85b-aa57-460d-8ea2-90ceb345478c___GHLB Leaf 2.7 Day 12.JPG,22.54,92.49,14.68
lab/train/Late_blight/d2619e9f-172d-4c42-8513-0ab522c02824___GHLB Leaf 2.2 Day 16.JPG,21.64,90.64,15.59
lab/train/Late_blight/d26fdac6-4355-4875-8c27-ebb1eaa50a8d___RS_Late.B 5119.JPG,19.44,92.05,16.39
lab/train/Late_blight/d2b2f190-12e4-467b-b64b-50b50d452a95___RS_Late.B 4913.JPG,23.38,89.56,14.74
lab/train/Late_blight/d4ac342b-52cf-490f-808f-410d101fcd4b___RS_Late.B 5483.JPG,23.6,93.85,9.88
lab/train/Late_blight/d4f4500b-9ebe-41fe-84ed-00278dc646b7___GHLB2 Leaf 9017.JPG,20.5,84.18,11.47
lab/train/Late_blight/d648ce42-6742-44b2-95b9-a01b24e3054a___RS_Late.B 6116.JPG,21.19,83.82,14.6
lab/train/Late_blight/d7fdf98a-cca7-441b-8014-ddeab2111617___RS_Late.B 6714.JPG,20.76,81.8,12.89
lab/train/Late_blight/d8674a0f-a63f-4d10-852a-4913ba977823___GHLB2 Leaf 8568.JPG,22.87,82.13,14.09
lab/train/Late_blight/d8856c76-c822-408c-9113-e1eadedb5cba___RS_Late.B 5491.JPG,21.51,94.35,14.27
lab/train/Late_blight/d8b0ded7-7d30-4b52-acea-d1a3ca70a392___RS_Late.B 6096.JPG,21.56,80.56,10.64
lab/train/Late_blight/d9459215-359a-48d1-babe-be3b7b11cd9d___GHLB Leaf 2 Day 12.JPG,21.22,87.54,15.96
lab/train/Late_blight/dbecc777-f8a4-4222-9872-051d44b19b2c___RS_Late.B 6426.JPG,19.35,87.61,11.2
lab/train/Late_blight/dbedc9c1-d7f8-4eef-b4bf-d36689c57c60___GHLB Leaf 27 Day 12.JPG,20.18,93.39,9.78
lab/train/Late_blight/de272472-c653-4102-beac-6813da817d21___GHLB2 Leaf 153.2.JPG,18.46,90.13,14.62
lab/train/Late_blight/de27bd5c-d08e-4815-8e31-3a2e497065d2___GHLB2 Leaf 8748.JPG,18.82,94.1,8.12
lab/train/Late_blight/df64e1d3-7700-423e-983e-2b082ff4a36b___GHLB2 Leaf 9099.JPG,22.57,92.63,13.51
lab/train/Late_blight/df7a9adb-6294-4866-9f39-6fc3d7a8ffdf___RS_Late.B 4978.JPG,19.37,86.03,15.18
lab/train/Late_blight/e1088349-de49-4d96-9405-6163002bf9de___RS_Late.B 6904.JPG,21.16,83.39,18.5
lab/train/Late_blight/e1fa1e4a-7259-496f-8066-79678f36f3e8___GHLB2 Leaf 8593.JPG,20.57,88.68,14.5
lab/train/Late_blight/e2e89956-491c-42a0-9154-6b8ef41cd63b___GHLB2 Leaf 8689.JPG,22.14,88.99,16.22
lab/train/Late_blight/e2f784ec-10de-4556-8dea-47c9d2c4e791___GHLB2 Leaf 147.2.JPG,22.43,87.9,13.89
lab/train/Late_blight/e4ec79b5-94df-42dd-8425-bd68d2320c5f___RS_Late.B 5406.JPG,21.18,80.48,19.9
lab/train/Late_blight/e51e78f1-e9c9-482c-9a4c-b10bb026aa55___GHLB Leaf 23.4 Day 12.JPG,19.28,89.32,15.29
lab/train/Late_blight/e5f21018-4aac-42f7-a397-a973907ac4ec___GHLB2 Leaf 156.JPG,20.44,80.49,13.15
lab/train/Late_blight/e6644ce4-5856-4627-b08d-36ac786afaa5___RS_Late.B 6856.JPG,18.88,89.1,13.83
lab/train/Late_blight/e6703c22-86f7-4bdf-9733-072180761976___RS_Late.B 5522.JPG,19.65,86.84,12.51
lab/train/Late_blight/e686c35e-fcb4-463b-ad2a-2c1da18135bb___GHLB2 Leaf 9023.JPG,21.65,91.01,12.51
lab/train/Late_blight/e7a25945-e168-4539-8324-7465310c2795___GHLB2 Leaf 8958.JPG,22.12,88.46,16.12
lab/train/Late_blight/e8c3e15e-99ae-4c47-9d27-4d94c2b96e8a___GHLB_PS Leaf 26.3 Day 13.jpg,23.1,84.89,9.01
lab/train/Late_blight/e95ca31b-0e75-4ec5-986a-29ce5dce1a01___GHLB2 Leaf 8643.JPG,21.27,88.57,13.75
lab/train/Late_blight/ea9e87df-efa8-4be3-8181-59a4b24dc3b7___RS_Late.B 6279.JPG,24.0,84.37,16.14
lab/train/Late_blight/eb5d32dd-f958-422e-acae-d68ec83e0408___RS_Late.B 6455.JPG,20.95,82.06,15.35
lab/train/Late_blight/eb6ec9fb-d564-4736-a18c-bd77cddd0c2a___RS_Late.B 5385.JPG,19.55,90.37,18.42
lab/train/Late_blight/ed469069-15cf-4996-9f2a-ede8139d1543___RS_Late.B 4914.JPG,22.96,83.3,9.04
lab/train/Late_blight/edab4e30-5e08-4bf9-92eb-695d4472add6___RS_Late.B 5582.JPG,21.54,88.38,18.73
lab/train/Late_blight/eeea993c-d0eb-4f36-acf4-187e01dc6b72___RS_Late.B 6028.JPG,23.99,85.18,17.25
lab/train/Late_blight/f2c089b3-34a5-4300-848f-a0d6eebcb756___RS_Late.B 5174.JPG,21.88,84.89,11.38
lab/train/Late_blight/f2dba3c2-82b9-4a5a-9424-f24de8972266___GHLB2 Leaf 8901.JPG,18.38,95.0,13.94
lab/train/Late_blight/f385d5e4-5dff-4851-a806-95a608d04b17___GHLB2 Leaf 132.1.JPG,18.14,90.82,17.19
lab/train/Late_blight/f3c203d3-4246-4af5-adfd-37452f637024___GHLB2 Leaf 118.1.JPG,19.11,81.27,8.21
lab/train/Late_blight/f401bc9a-3136-40cd-8a6b-99308e7de798___RS_Late.B 5004.JPG,23.35,93.26,12.24
lab/train/Late_blight/f68ecc9a-4ac2-4dde-b2bb-97f2c438ffd8___GHLB2 Leaf 8964.JPG,18.81,81.12,8.82
lab/train/Late_blight/f73231ab-afd2-4d01-acd2-7ba229349de6___RS_Late.B 6969.JPG,19.47,85.29,15.45
lab/train/Late_blight/fa524c8c-e08d-43ee-9f33-3bd2bf9b09f5___GHLB2 Leaf 8686.JPG,21.03,82.77,18.33
lab/train/Late_blight/fc77b008-6f35-40c7-96d4-64660bb624dc___GHLB2 Leaf 8812.JPG,21.72,84.91,17.17
lab/train/Late_blight/fcfe91fc-c578-4c6d-8fe4-b8ff4cfdb766___GHLB2 Leaf 75.1.JPG,22.19,86.84,16.55
lab/train/Late_blight/fd26b445-5839-4337-858c-a91dfdd812cc___GHLB2 Leaf 8743.JPG,18.54,92.06,11.33
lab/train/Leaf_Mold/02a29ab9-8cba-47a0-bc2f-e7af7dbae149___Crnl_L.Mold 7165.JPG,23.76,78.93,13.65
lab/train/Leaf_Mold/05bbff69-adad-4e16-8fad-c265be82e25a___Crnl_L.Mold 6929.JPG,20.74,89.08,9.99
lab/train/Leaf_Mold/08cdd6ec-9dd7-4fc2-a255-11a70adaffd4___Crnl_L.Mold 9177.JPG,24.05,86.8,10.05
lab/train/Leaf_Mold/09240d05-a928-4491-9f13-ee42b693e2bd___Crnl_L.Mold 6610.JPG,22.49,85.21,9.39
lab/train/Leaf_Mold/0ba88812-fa4f-4602-bcec-c03cd7d0ba2b___Crnl_L.Mold 6990.JPG,20.47,77.17,5.41
lab/train/Leaf_Mold/0db4cbf4-fa94-42c8-8bf5-90114281c569___Crnl_L.Mold 8681.JPG,20.1,79.34,7.85
lab/train/Leaf_Mold/0e508a3f-af06-4c8a-be78-5c38d2d4fb68___Crnl_L.Mold 6775.JPG,20.37,80.84,9.85
lab/train/Leaf_Mold/0eda4dc5-7f7b-4e27-9e53-1e0326eef88e___Crnl_L.Mold 8850.JPG,20.21,83.46,5.87
lab/train/Leaf_Mold/0f1ce7cf-da72-4ddb-9bdb-a1af620537c6___Crnl_L.Mold 6840.JPG,21.69,88.91,5.39
lab/train/Leaf_Mold/1146e92b-d6b2-4a19-ac54-32141d680f41___Crnl_L.Mold 6725.JPG,20.41,82.06,8.67
lab/train/Leaf_Mold/12319ec3-c990-4c68-8683-244f1f220c09___Crnl_L.Mold 9146.JPG,20.66,77.77,12.96
lab/train/Leaf_Mold/156f079b-411f-41db-8023-fa934de343f9___Crnl_L.Mold 7039.JPG,20.27,75.7,10.48
lab/train/Leaf_Mold/167ce5ce-ef32-4544-a7aa-d05d315ef61a___Crnl_L.Mold 9113.JPG,21.16,75.5,11.7
lab/train/Leaf_Mold/1826cec0-4c4e-4924-a992-e70eb2a0097e___Crnl_L.Mold 6638.JPG,25.36,81.88,13.72
lab/train/Leaf_Mold/19547a57-651f-4f9c-b1df-a4ce5b5fdffd___Crnl_L.Mold 8731.JPG,20.95,87.02,6.25
lab/train/Leaf_Mold/19a5dad8-125e-4765-98d9-0164586fa807___Crnl_L.Mold 6590.JPG,20.25,81.94,13.24
lab/train/Leaf_Mold/2026a463-c6a6-4500-b382-9b5cbd73f9cf___Crnl_L.Mold 8734.JPG,20.28,79.46,11.83
lab/train/Leaf_Mold/2406a1dc-92d9-4cc9-a724-a67c73104717___Crnl_L.Mold 8750.JPG,20.15,75.03,5.18
lab/train/Leaf_Mold/24b03bfc-3491-490d-9178-61c6c56c4b56___Crnl_L.Mold 9018.JPG,24.54,84.58,6.07
